scale,ReLC_nm,CR00_R,CR00_G,CR00_B,CR00_W,CR00_W_rel_to_ref_dB,CR_W_t30_p+45,CR_W_t30_p+45_rel_to_ref_dB,CR_W_t30_p+135,CR_W_t30_p+135_rel_to_ref_dB,CR_W_t30_p-45,CR_W_t30_p-45_rel_to_ref_dB,CR_W_t30_p-135,CR_W_t30_p-135_rel_to_ref_dB
1.0900000000000003,337.9000000000001,12019.914034470576,12428.338284881931,19530.163830711263,21829.342764890323,0.09245282448463095,930.1904427305376,0.160961516220689,708.7519227627557,-0.12055507850618116,708.7519227627544,-0.12055507850618166,930.1904427305383,0.1609615162206936
1.1000000000000003,341.0000000000001,11965.113519893868,12470.122277727653,19982.396056358742,21912.84281860552,0.10903345763366415,934.0481753646254,0.1789355499179812,706.701310885452,-0.13313861040561367,706.7013108854508,-0.13313861040561317,934.0481753646264,0.17893554991798677
1.1100000000000003,344.1000000000001,11914.362734094979,12517.996609764841,20458.963766866374,22002.552867657858,0.1267769541274068,937.9057798236847,0.19683490793169914,704.6920017910085,-0.1455041563360041,704.6920017910071,-0.1455041563360041,937.9057798236847,0.19683490793170097
1.1200000000000003,347.2000000000001,11867.606523714423,12572.037007425994,20960.697386135053,22098.395065492154,0.14565355661939502,941.7572187107513,0.2146323641586147,702.7260996612172,-0.15763674154743024,702.7260996612159,-0.1576367415474297,941.7572187107525,0.21463236415862202
1.1300000000000003,350.3000000000001,11824.794206049637,12632.329133288127,21488.408917036842,22200.289158321713,0.16563253390598456,945.5962355831716,0.2323001321037166,700.8056692624239,-0.16952151486050815,700.8056692624223,-0.16952151486050965,945.5962355831725,0.2323001321037221
1.1400000000000003,353.4000000000001,11785.879484021129,12698.968783902574,22042.877535304913,22308.151989263457,0.18668216978543803,949.4163634422957,0.2498099122244466,698.932734530368,-0.18114376802345875,698.9327345303662,-0.18114376802346124,949.4163634422969,0.24980991222445295
1.1500000000000004,356.5000000000001,11750.8203682513,12772.062109496723,22624.8323199394,22421.896993155093,0.2087697530261256,953.2109347716018,0.2671329431303902,697.109277306817,-0.19248895468422164,697.1092773068156,-0.19248895468422264,953.2109347716023,0.2671329431303938
1.1600000000000004,359.60000000000014,11719.579106198938,12851.725855461917,23234.931734186153,22541.43368328456,0.23186156870538482,956.9730931835617,0.28424005665542734,695.3372362220045,-0.2035427089623408,695.337236222003,-0.20354270896234236,956.9730931835617,0.28424005665542823
1.1700000000000004,362.7000000000001,11692.122118292451,12938.087625471113,23873.73945879727,22666.667131504386,0.2559228911907876,960.695806726121,0.30110173679478114,693.6185057162046,-0.21429086360826138,693.6185057162025,-0.21429086360826594,960.6958067261226,0.30110173679479024
1.1800000000000004,365.8000000000001,11668.419941006217,13031.286165979642,24541.69618161928,22797.497443471973,0.2809179790462901,964.3718828886952,0.3176881824727976,691.9549351930766,-0.22471946774108742,691.9549351930751,-0.22471946774108847,964.371882888695,0.3176881824727985
1.1900000000000004,368.90000000000015,11648.447176827249,13131.471671745436,25239.086970974862,22933.819231042733,0.3068100721551987,967.9939853349422,0.33396937407829347,690.3483282968441,-0.23481480415872721,690.3483282968419,-0.23481480415873282,967.993985334943,0.3339693740782979
1.2000000000000004,372.0000000000001,11632.182451063092,13238.806111861142,25966.003912785593,23075.521084153388,0.33356139136155144,971.5546523754539,0.34991514367386134,688.8004423048196,-0.24456340621743014,688.800442304818,-0.24456340621743222,971.5546523754524,0.3499151436738569
1.2100000000000004,375.10000000000014,11619.608375446935,13353.463575609949,26722.303782429342,23222.485044857334,0.3611331409393963,975.0463171775893,0.3654952487520749,687.3129876263828,-0.2539520742801261,687.3129876263814,-0.2539520742801266,975.0463171775887,0.365495248752074
1.2200000000000004,378.2000000000001,11610.711518501255,13475.630637239183,27507.56066297452,23374.58608651865,0.3894855142069215,978.4613296926112,0.3806794493779907,685.8876273990537,-0.2629678917360069,685.8876273990528,-0.2629678917360044,978.4613296926116,0.3806794493779942
1.2300000000000004,381.3000000000001,11605.482382627899,13605.506738478884,28321.013623770617,23531.691601525094,0.4185777026075923,981.7919802615579,0.3954375885210889,684.52597717205,-0.27159824059570464,684.5259771720487,-0.27159824059570514,981.7919802615586,0.39543758852109323
1.2400000000000004,384.40000000000015,11603.915387899038,13743.304587314493,29161.509849928938,23693.660901247284,0.44836790858450776,985.0305248415762,0.4097396753434649,683.229604667387,-0.27983081666899146,683.229604667386,-0.27983081666898935,985.0305248415763,0.4097396753434667
1.2500000000000004,387.5000000000001,11606.00886253073,13889.250571139306,30027.443975580598,23860.34473233874,0.47881336257534096,988.1692117736325,0.42355597117372923,682.0000296084027,-0.2876536443337208,682.0000296084007,-0.2876536443337249,988.1692117736337,0.42355597117373717
