A_scale,ReA_nm,ReC_nm,best_CR,best_A_base_deg,best_A_kind
0.1,15.5,215.0,18.04694421548681,90.0,upper
0.1,15.5,220.0,17.326681690168247,90.0,upper
0.1,15.5,225.0,16.64812313606017,90.0,upper
0.1,15.5,230.0,16.00831389095311,90.0,upper
0.1,15.5,235.0,15.40453630585726,90.0,upper
0.1,15.5,240.0,14.834289816560545,90.0,upper
0.1,15.5,245.0,14.295272561904872,90.0,upper
0.1,15.5,250.0,13.78536448432264,90.0,upper
0.1,15.5,255.0,13.302611833079563,90.0,upper
0.1,15.5,260.0,12.845212982292805,90.0,upper
0.1,15.5,265.0,12.411505472222172,90.0,upper
0.1,15.5,270.0,11.99995418213661,90.0,upper
0.1,15.5,275.0,11.609140545173707,90.0,upper
0.1,15.5,280.0,11.237752719251262,90.0,upper
0.15,23.25,-280.0,6.560737519104968,90.0,upper
0.15,23.25,-275.0,6.745818532831043,90.0,upper
0.15,23.25,-270.0,6.939948924478967,90.0,upper
0.15,23.25,-265.0,7.143705727903069,90.0,upper
0.15,23.25,-260.0,7.357711886069462,90.0,upper
0.15,23.25,-255.0,7.582640582955802,90.0,upper
0.15,23.25,-250.0,7.8192200445900335,90.0,upper
0.15,23.25,-245.0,8.068238865815104,90.0,upper
0.15,23.25,-240.0,8.330551926733358,90.0,upper
0.15,23.25,-235.0,8.607086971142156,90.0,upper
0.15,23.25,-230.0,8.898851928748426,90.0,upper
0.15,23.25,-225.0,9.20694307368173,90.0,upper
0.15,23.25,-220.0,9.532554123962118,90.0,upper
0.15,23.25,-215.0,9.876986400275152,90.0,upper
0.15,23.25,-210.0,10.241660177820892,90.0,upper
0.15,23.25,-205.0,10.62812738228802,90.0,upper
0.15,23.25,-200.0,11.038085800294448,90.0,upper
0.15,23.25,-195.0,11.473394996028432,90.0,upper
0.15,23.25,-190.0,11.936094149354535,90.0,upper
0.15,23.25,-185.0,12.428422056242786,90.0,upper
0.15,23.25,-180.0,12.952839559801385,90.0,upper
0.15,23.25,-175.0,13.512054708954107,90.0,upper
0.15,23.25,-170.0,14.109050971044224,90.0,upper
0.15,23.25,-165.0,14.747118852960254,90.0,upper
0.15,23.25,-160.0,15.429891310571552,90.0,upper
0.15,23.25,-155.0,16.161383345003784,90.0,upper
0.15,23.25,-150.0,16.94603619163476,90.0,upper
0.15,23.25,-145.0,17.788766496424103,90.0,upper
0.15,23.25,-140.0,18.69502083386603,90.0,upper
0.15,23.25,-135.0,19.67083583653834,90.0,upper
0.15,23.25,-130.0,20.72290405672437,90.0,upper
0.15,23.25,-125.0,21.858645436074415,90.0,upper
0.15,23.25,-120.0,23.086283878063476,90.0,upper
0.15,23.25,-115.0,24.414927842296365,90.0,upper
0.15,23.25,-110.0,25.854653030073823,90.0,upper
0.15,23.25,-105.0,27.41658399903162,90.0,upper
0.15,23.25,-100.0,29.112969786043106,90.0,upper
0.15,23.25,-95.0,30.957246140433373,90.0,upper
0.15,23.25,-90.0,32.96407352674112,90.0,upper
0.15,23.25,-85.0,35.14933533894551,90.0,upper
0.15,23.25,-80.0,37.53007440863256,90.0,upper
0.15,23.25,-75.0,40.12433748429897,90.0,upper
0.15,23.25,-70.0,42.95088652937215,90.0,upper
0.15,23.25,-65.0,46.028722210156694,90.0,upper
0.15,23.25,-60.0,49.37634900353659,90.0,upper
0.15,23.25,-55.0,53.01069396532571,90.0,upper
0.15,23.25,-50.0,56.94557491090825,90.0,upper
0.15,23.25,-45.0,61.189603667165464,90.0,upper
0.15,23.25,-40.0,65.74341512425839,90.0,upper
0.15,23.25,-35.0,70.59614722785136,90.0,upper
0.15,23.25,-30.0,75.72118079038484,90.0,upper
0.15,23.25,-25.0,81.07130503856665,90.0,upper
0.15,23.25,-20.0,86.57372618813504,90.0,upper
0.15,23.25,-15.0,92.12568481641169,90.0,upper
0.15,23.25,-10.0,97.59185265527749,90.0,upper
0.15,23.25,-5.0,102.80502663021845,90.0,upper
0.15,23.25,0.0,107.5717250402687,90.0,upper
0.15,23.25,5.0,111.05759598654507,90.0,upper
0.15,23.25,10.0,113.96730155142271,90.0,upper
0.15,23.25,15.0,116.19102067619235,90.0,upper
0.15,23.25,20.0,117.63880859919546,90.0,upper
0.15,23.25,25.0,118.24922506415949,90.0,upper
0.15,23.25,30.0,117.99565514710112,90.0,upper
0.15,23.25,35.0,116.88915258345428,90.0,upper
0.15,23.25,40.0,114.97725312391637,90.0,upper
0.15,23.25,45.0,112.33899019574375,90.0,upper
0.15,23.25,50.0,109.077058987578,90.0,upper
0.15,23.25,55.0,105.30851063043552,90.0,upper
0.15,23.25,60.0,101.15542319132484,90.0,upper
0.15,23.25,65.0,96.73673544955811,90.0,upper
0.15,23.25,70.0,92.16198124934239,90.0,upper
0.15,23.25,75.0,87.52718558078813,90.0,upper
0.15,23.25,80.0,82.91279770886624,90.0,upper
0.15,23.25,85.0,78.38329627548407,90.0,upper
0.15,23.25,90.0,73.98800398129396,90.0,upper
0.15,23.25,95.0,69.76265964692928,90.0,upper
0.15,23.25,100.0,65.73136828683704,90.0,upper
0.15,23.25,105.0,61.90864671436756,90.0,upper
0.15,23.25,110.0,58.30137709976135,90.0,upper
0.15,23.25,115.0,54.91056014504112,90.0,upper
0.15,23.25,120.0,51.73281861428008,90.0,upper
0.15,23.25,125.0,48.7616418443401,90.0,upper
0.15,23.25,130.0,45.988386072984184,90.0,upper
0.15,23.25,135.0,43.40305809509155,90.0,upper
0.15,23.25,140.0,40.99491464510145,90.0,upper
0.15,23.25,145.0,38.75290997589525,90.0,upper
0.15,23.25,150.0,36.666021506355,90.0,upper
0.15,23.25,155.0,34.72347957774656,90.0,upper
0.15,23.25,160.0,32.91492318578054,90.0,upper
0.15,23.25,165.0,31.23049954983782,90.0,upper
0.15,23.25,170.0,29.66092179853769,90.0,upper
0.15,23.25,175.0,28.197495988819835,90.0,upper
0.15,23.25,180.0,26.83212613991729,90.0,upper
0.15,23.25,185.0,25.557303912083775,90.0,upper
0.15,23.25,190.0,24.366087929907035,90.0,upper
0.15,23.25,195.0,23.252076473537187,90.0,upper
0.15,23.25,200.0,22.209376273542887,90.0,upper
0.15,23.25,205.0,21.232569389016174,90.0,upper
0.15,23.25,210.0,20.31667957524966,90.0,upper
0.15,23.25,215.0,19.457139116615636,90.0,upper
0.15,23.25,220.0,18.649756779741324,90.0,upper
0.15,23.25,225.0,17.890687305914813,90.0,upper
0.15,23.25,230.0,17.176402689642636,90.0,upper
0.15,23.25,235.0,16.50366536668755,90.0,upper
0.15,23.25,240.0,15.8695033476258,90.0,upper
0.15,23.25,245.0,15.271187272696134,90.0,upper
0.15,23.25,250.0,14.706209323407075,90.0,upper
0.15,23.25,255.0,14.172263900677548,90.0,upper
0.15,23.25,260.0,13.667229964185047,90.0,upper
0.15,23.25,265.0,13.189154920067814,90.0,upper
0.15,23.25,270.0,12.73623994192896,90.0,upper
0.15,23.25,275.0,12.30682661155479,90.0,upper
0.15,23.25,280.0,11.899384769666115,90.0,upper
0.2,31.0,-280.0,6.348661499789976,90.0,upper
0.2,31.0,-275.0,6.523817658789911,90.0,upper
0.2,31.0,-270.0,6.707422083468539,90.0,upper
0.2,31.0,-265.0,6.900006507998912,90.0,upper
0.2,31.0,-260.0,7.102144555365681,90.0,upper
0.2,31.0,-255.0,7.314455664208414,90.0,upper
0.2,31.0,-250.0,7.537609440236632,90.0,upper
0.2,31.0,-245.0,7.772330483717591,90.0,upper
0.2,31.0,-240.0,8.019403751363166,90.0,upper
0.2,31.0,-235.0,8.279680518723668,90.0,upper
0.2,31.0,-230.0,8.554085018071024,90.0,upper
0.2,31.0,-225.0,8.843621836871682,90.0,upper
0.2,31.0,-220.0,9.14938417348215,90.0,upper
0.2,31.0,-215.0,9.472563059835656,90.0,upper
0.2,31.0,-210.0,9.814457675833205,90.0,upper
0.2,31.0,-205.0,10.176486897129873,90.0,upper
0.2,31.0,-200.0,10.560202237252296,90.0,upper
